Signal,Id,Type,DataType,Complex,Unit,Min,Max,Desc,Enum,instance
Vehicle,branch,,false,,,,High-level vehicle data.,,
Vehicle.VersionVSS,branch,,false,,,,Supported Version of VSS,,
Vehicle.VersionVSS.Major,attribute,uint32,false,,,,Supported Version of VSS - Major version,,
Vehicle.VersionVSS.Minor,attribute,uint32,false,,,,Supported Version of VSS - Minor version,,
Vehicle.VersionVSS.Patch,attribute,uint32,false,,,,Supported Version of VSS - Patch version,,
Vehicle.VersionVSS.Label,attribute,string,false,,,,Label to further describe the version,,
Vehicle.VehicleIdentification,branch,,false,,,,Attributes that identify a vehicle,,
Vehicle.VehicleIdentification.VIN,attribute,string,false,,,,17-character Vehicle Identification Number (VIN) as defined by ISO 3779,,
Vehicle.VehicleIdentification.WMI,attribute,string,false,,,,3-character World Manufacturer Identification (WMI) as defined by ISO 3780,,
Vehicle.VehicleIdentification.Brand,attribute,string,false,,,,Vehicle brand or manufacturer,,
Vehicle.VehicleIdentification.Model,attribute,string,false,,,,Vehicle model,,
Vehicle.VehicleIdentification.Year,attribute,uint16,false,,,,Model year of the vehicle,,
Vehicle.VehicleIdentification.ACRISSCode,attribute,string,false,,,,The ACRISS Car Classification Code is a code used by many car rental companies.,,
Vehicle.VehicleIdentification.bodyType,attribute,string,false,,,,Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).,,
Vehicle.VehicleIdentification.dateVehicleFirstRegistered,attribute,string,false,,,,The date of the first registration of the vehicle with the respective public authorities.,,
Vehicle.VehicleIdentification.meetsEmissionStandard,attribute,string,false,,,,Indicates that the vehicle meets the respective emission standard.,,
Vehicle.VehicleIdentification.productionDate,attribute,string,false,,,,The date of production of the item, e.g. vehicle.,,
Vehicle.VehicleIdentification.purchaseDate,attribute,string,false,,,,The date the item e.g. vehicle was purchased by the current owner.,,
Vehicle.VehicleIdentification.vehicleModelDate,attribute,string,false,,,,The release date of a vehicle model (often used to differentiate versions of the same make and model).,,
Vehicle.VehicleIdentification.vehicleConfiguration,attribute,string,false,,,,A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.,,
Vehicle.VehicleIdentification.vehicleSeatingCapacity,attribute,uint16,false,,,,The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.,,
Vehicle.VehicleIdentification.vehicleSpecialUsage,attribute,string,false,,,,Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school.,,
