Attribute,"","branch","","","","Attribute signals that do not change during the power cycle of a vehicle.",""
Attribute.Body,"","branch","","","","All body components",""
Attribute.Body.RefuelPosition,"29","String","","","","Location of the fuel cap or charge port","front_left / front_right / middle_left / middle_right / rear_left / rear_right"
Attribute.Body.BodyType,"28","String","","","","Body type code as defined by ISO 3779",""
Attribute.Drivetrain,"","branch","","","","Drivetrain attributes internal combustion engines, transmissions, electric motors, etc.",""
Attribute.Drivetrain.Transmission,"","branch","","","","Transmission-specific attributes, stopping at the drive shafts.",""
Attribute.Drivetrain.Transmission.DriveType,"8","String","","","","Drive type.","unknown / fwd / rwd / awd"
Attribute.Drivetrain.Transmission.Type,"6","String","","","","Transmission type.","unknown / sequential / H / automatic / DSG / CVT"
Attribute.Drivetrain.Transmission.GearCount,"7","UInt8","","","","Number of forward gears in the transmission. -1 = CVT.",""
Attribute.Drivetrain.FuelCell,"","branch","","","","Fuel Cell attributes",""
Attribute.Drivetrain.BatteryManagement,"","branch","","","","Battery Management attributes",""
Attribute.Drivetrain.InternalCombustionEngine,"","branch","","","","Engine-specific attributes, stopping at the bell housing.",""
Attribute.Drivetrain.InternalCombustionEngine.FuelType,"5","String","","","","Type of fuel that the engine runs on.","unknown / gasoline / diesel / E85 / CNG"
Attribute.Drivetrain.InternalCombustionEngine.Configuration,"2","String","","","","Engine configuration.","unknown / straight / V / boxer / W / rotary / radial / square / H / U / opposed / X"
Attribute.Drivetrain.InternalCombustionEngine.MaxTorque,"4","UInt16","","","","Peak power, in newton meter, that the engine can generate.",""
Attribute.Drivetrain.InternalCombustionEngine.Displacement,"1","UInt16","","","","Displacement in cubic centimetres.",""
Attribute.Drivetrain.InternalCombustionEngine.MaxPower,"3","UInt16","","","","Peak power, in kilowatts, that engine can generate.",""
Attribute.Drivetrain.FuelSystem,"","branch","","","","Fuel System attributes",""
Attribute.Drivetrain.FuelSystem.TankCapacity,"9","UInt16","l","","","Capacity of the fuel tank in liters",""
Attribute.ADAS,"","branch","","","","All Advanced Driver Assist Systems attributes",""
Attribute.Chassis,"","branch","","","","All attributes concerning steering, suspension, wheels, and brakes.",""
Attribute.Chassis.Track,"27","UInt16","","","","Overall wheel tracking, in mm.",""
Attribute.Chassis.TowWeight,"22","UInt16","","","","Maximum weight, in kilos, of trailer.",""
Attribute.Chassis.Width,"25","UInt16","","","","Overall vehicle width, in mm.",""
Attribute.Chassis.Length,"23","UInt16","","","","Overall vehicle length, in mm.",""
Attribute.Chassis.Axle,"","branch","","","","Axle configuration attributes",""
Attribute.Chassis.Axle.Count,"10","UInt8","","","","Number of axles on the vehicle",""
Attribute.Chassis.Axle.Row1,"","branch","","","","Axle configuration attributes for axle row",""
Attribute.Chassis.Axle.Row1.WheelCount,"11","UInt8","","","","Number of wheels on the first axle",""
Attribute.Chassis.Axle.Row1.WheelWidth,"13","UInt8","inch","","","Width of wheels (without tires), in inches, as per ETRO / TRA standard.",""
Attribute.Chassis.Axle.Row1.TireDiameter,"16","UInt8","inch","","","Diameter of tires, in inches, as per ETRO / TRA standard.",""
Attribute.Chassis.Axle.Row1.WheelDiameter,"12","UInt8","inch","","","Diameter of wheels (without tires), in inches, as per ETRO / TRA standard.",""
Attribute.Chassis.Axle.Row1.TireWidth,"17","UInt8","inch","","","Width of tires, in inches, as per ETRO / TRA standard.",""
Attribute.Chassis.Axle.Row2,"","branch","","","","Axle configuration attributes for axle row",""
Attribute.Chassis.Axle.Row2.WheelWidth,"15","UInt8","inch","","","Width of wheels (without tires), in inches, as per ETRO / TRA standard.",""
Attribute.Chassis.Axle.Row2.TireDiameter,"18","UInt8","inch","","","Diameter of tires, in inches, as per ETRO / TRA standard.",""
Attribute.Chassis.Axle.Row2.WheelDiameter,"14","UInt8","inch","","","Diameter of wheels (without tires), in inches, as per ETRO / TRA standard.",""
Attribute.Chassis.Axle.Row2.TireWidth,"19","UInt8","inch","","","Width of tires, in inches, as per ETRO / TRA standard.",""
Attribute.Chassis.CurbWeight,"20","UInt16","","","","Vehicle curb weight, in kg, including all liquids and full tank of fuel, but no cargo or passengers.",""
Attribute.Chassis.Height,"24","UInt16","","","","Overall vehicle height, in mm.",""
Attribute.Chassis.Wheelbase,"26","UInt16","","","","Overall wheel base, in mm.",""
Attribute.Chassis.GrossWeight,"21","UInt16","","","","Curb weight of vehicle, including all liquids and full tank of fuel and full load of cargo and passengers.",""
Attribute.Vehicle,"","branch","","","","All Advanced Driver Assist Systems attributes",""
Attribute.Vehicle.VehicleIdentification,"","branch","","","","Attributes that identify a vehicle",""
Attribute.Vehicle.VehicleIdentification.Model,"42","String","","","","Vehicle model",""
Attribute.Vehicle.VehicleIdentification.WMI,"40","String","","","","3-character World Manufacturer Identification (WMI) as defined by ISO 3780",""
Attribute.Vehicle.VehicleIdentification.VIN,"39","String","","","","17-character Vehicle Identification Number (VIN) as defined by ISO 3779",""
Attribute.Vehicle.VehicleIdentification.Brand,"41","String","","","","Vehicle brand or manufacturer",""
Attribute.Vehicle.VehicleIdentification.Year,"43","UInt16","","","","Model year of the vehicle",""
Attribute.Cabin,"","branch","","","","All in-cabin components, including doors.",""
Attribute.Cabin.Seat,"","branch","","","","Seat configuration attributes",""
Attribute.Cabin.Seat.Row4PosCount,"37","UInt8","","","","Number of seats across row 4",""
Attribute.Cabin.Seat.Row1PosCount,"34","UInt8","","","","Number of seats across row 1 (frontmost)",""
Attribute.Cabin.Seat.RowCount,"33","UInt8","","","","Number of seat rows in vehicle",""
Attribute.Cabin.Seat.Row5PosCount,"38","UInt8","","","","Number of seats across row 5",""
Attribute.Cabin.Seat.Row2PosCount,"35","UInt8","","","","Number of seats across row 2",""
Attribute.Cabin.Seat.Row3PosCount,"36","UInt8","","","","Number of seats across row 3",""
Attribute.Cabin.Seat.DriverPostion,"32","UInt8","","","","The position of the driver seat in row 1. (1-5)",""
Attribute.Cabin.Door,"","branch","","","","Door configuration attributes",""
Attribute.Cabin.Door.Count,"30","UInt8","","","","Number of doors in vehicle",""
Attribute.Cabin.SteeringWheel,"","branch","","","","Steering wheel configuration attributes",""
Attribute.Cabin.SteeringWheel.Position,"31","String","","","","Position of the steering wheel inside the cabin","front_left / front_right"
Signal,"","branch","","","","All signals that can dynamically be updated by the vehicle",""
Signal.Body,"","branch","","","","All body components",""
Signal.Body.Mirrors,"","branch","","","","All mirrors",""
Signal.Body.Mirrors.Right,"","branch","","","","Right mirrors",""
Signal.Body.Mirrors.Right.Tilt,"106","Int8","percentage","","","Mirror tilt as a percentage. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.",""
Signal.Body.Mirrors.Right.Pan,"107","Int8","percentage","","","Mirror pan as a percentage. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.",""
Signal.Body.Mirrors.Right.Heater,"","branch","","","","Mirror heater signals",""
Signal.Body.Mirrors.Right.Heater.Status,"108","Boolean","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.",""
Signal.Body.Mirrors.Left,"","branch","","","","Left mirrors",""
Signal.Body.Mirrors.Left.Tilt,"103","Int8","percentage","","","Mirror tilt as a percentage. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.",""
Signal.Body.Mirrors.Left.Pan,"104","Int8","percentage","","","Mirror pan as a percentage. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.",""
Signal.Body.Mirrors.Left.Heater,"","branch","","","","Mirror heater signals",""
