Attribute,"","branch","","","","Attribute signals that do not change during the power cycle of a vehicle."
Attribute.Body,"","branch","","","","All body components"
Attribute.Chassis,"","branch","","","","All attributes concerning steering, suspension, wheels, and brakes."
Attribute.Chassis.Width,"14","UInt16","","","","Overall vehicle width, in mm."
Attribute.Chassis.FrontWheelDiameter,"5","UInt8","","","","Diameter of wheels (without tires), in inches."
Attribute.Chassis.RearWheelDiameter,"6","UInt8","","","","Diameter of rear wheels (without tires), in inches."
Attribute.Chassis.Track,"16","UInt16","","","","Overall wheel tracking, in mm."
Attribute.Chassis.TowWeight,"11","UInt16","","","","Maximum weight, in kilos, of trailer."
Attribute.Chassis.FrontWheelWidth,"7","UInt8","","","","Diameter of rear wheels (without tires), in inches."
Attribute.Chassis.Length,"12","UInt16","","","","Overall vehicle length, in mm."
Attribute.Chassis.RearWheelWidth,"8","UInt8","","","","Diameter of rear wheels (without tires), in inches."
Attribute.Chassis.CurbWeight,"9","UInt16","","","","Vehicle curb weight, in kg, including all liquids and full tank of fuel, but no cargo or passengers."
Attribute.Chassis.Height,"13","UInt16","","","","Overall vehicle height, in mm."
Attribute.Chassis.Wheelbase,"15","UInt16","","","","Overall wheel base, in mm."
Attribute.Chassis.GrossWeight,"10","UInt16","","","","Curb weight of vehicle, including all liquids and full tank of fuel and full load of cargo and passengers."
Attribute.Drivetrain,"","branch","","","","Drivetrain attributes internal combustion engines, transmissions, electric motors, etc."
Attribute.Drivetrain.Transmission,"","branch","","","","Transmission-specific attributes, stopping at the drive shafts."
Attribute.Drivetrain.Transmission.DriveType,"","branch","","","","Drive type."
Attribute.Drivetrain.Transmission.Type,"","branch","","","","Transmission type."
Attribute.Drivetrain.Transmission.GearCount,"4","UInt8","","","","Number of forward gears in the transmission. -1 = CVT."
Attribute.Drivetrain.FuelCell,"","branch","","","","Fuel Cell attributes"
Attribute.Drivetrain.BatteryManagement,"","branch","","","","Battery Management attributes"
Attribute.Drivetrain.InternalCombustionEngine,"","branch","","","","Engine-specific attributes, stopping at the bell housing."
Attribute.Drivetrain.InternalCombustionEngine.FuelType,"","branch","","","","Type of fuel that the engine runs on."
Attribute.Drivetrain.InternalCombustionEngine.Configuration,"","branch","","","","Engine configuration."
Attribute.Drivetrain.InternalCombustionEngine.MaxTorque,"3","UInt16","","","","Peak power, in newton meter, that the engine can generate."
Attribute.Drivetrain.InternalCombustionEngine.Displacement,"1","UInt16","","","","Displacement in cubic centimetres."
Attribute.Drivetrain.InternalCombustionEngine.MaxPower,"2","UInt16","","","","Peak power, in kilowatts, that engine can generate."
Attribute.ADAS,"","branch","","","","All Advanced Driver Assist Systems attributes"
Attribute.Cabin,"","branch","","","","All in-cabin components, including doors."
Attribute.Cabin.Seat,"","branch","","","","Seat configuration attributes"
Attribute.Cabin.Seat.Row4PosCount,"22","UInt8","","","","Number of seats across row 4"
Attribute.Cabin.Seat.Row1PosCount,"19","UInt8","","","","Number of seats across row 1 (frontmost)"
Attribute.Cabin.Seat.RowCount,"18","UInt8","","","","Number of seat rows in vehicle"
Attribute.Cabin.Seat.Row5PosCount,"23","UInt8","","","","Number of seats across row 5"
Attribute.Cabin.Seat.Row2PosCount,"20","UInt8","","","","Number of seats across row 3"
Attribute.Cabin.Seat.Row3PosCount,"21","UInt8","","","","Number of seats across row 3"
Attribute.Cabin.Seat.DriverPostion,"17","UInt8","","","","The position of the driver seat in row 1. (1-5_"
Signal,"","branch","","","","All signals that can dynamically be updated by the vehicle"
Signal.Body,"","branch","","","","All body components"
Signal.Body.Lights,"","branch","","","","All lgihts"
Signal.Body.Lights.IsLeftIndicatorOn,"49","Boolean","","","","Is left indicator flashing"
Signal.Body.Lights.IsLowBeamOn,"41","Boolean","","","","Is low beam on"
Signal.Body.Lights.IsHighBeamOn,"40","Boolean","","","","Is high beam on"
Signal.Body.Lights.IsFrontFogOn,"47","Boolean","","","","Is front fog light on"
Signal.Body.Lights.IsBrakeOn,"45","Boolean","","","","Is brake light on"
Signal.Body.Lights.IsRightIndicatorOn,"50","Boolean","","","","Is right indicator flashing"
Signal.Body.Lights.IsBackupOn,"43","Boolean","","","","Is backup (reverse) light on"
Signal.Body.Lights.IsParkingOn,"44","Boolean","","","","Is parking light on"
Signal.Body.Lights.IsRearFogOn,"46","Boolean","","","","Is rear fog light on"
Signal.Body.Lights.IsHazardOn,"48","Boolean","","","","Are hazards on"
Signal.Body.Lights.IsRunningOn,"42","Boolean","","","","Are running lights on"
Signal.Body.Hood,"","branch","","","","Hood status"
Signal.Body.Hood.IsOpen,"37","Boolean","","","","hood open or closed. True = Open. False = Closed"
Signal.Body.Trunk,"","branch","","","","Trunk status"
Signal.Body.Trunk.IsLocked,"39","Boolean","","","","Is trunk locked or unlocked. True = Locked. False = Unlocked."
Signal.Body.Trunk.IsOpen,"38","Boolean","","","","Trunk open or closed. True = Open. False = Closed"
Signal.ADAS,"","branch","","","","All Advanced Driver Assist Systems signals"
Signal.Drivetrain,"","branch","","","","Drivetrain data for internal combustion engines, transmissions, electric motors, etc."
Signal.Drivetrain.Transmission,"","branch","","","","Transmission-specific data, stopping at the drive shafts."
Signal.Drivetrain.Transmission.PerformanceMode,"34","String","","","","Current gearbox performance mode."
Signal.Drivetrain.Transmission.Speed,"846","UInt16","kph","0","400","Vehicle speed, as sensed by the gearbox."
Signal.Drivetrain.Transmission.Gear,"33","UInt8","","-1","16","Current gear. 0=Neutral. -1=Reverse"
Signal.Drivetrain.Transmission.GearChangeMode,"35","String","","","","Is the gearbox in automatic or manual (paddle) mode."
Signal.Drivetrain.Transmission.Temperature,"36","Int16","celsius","-50","200","The current gearbox temperature"
Signal.Drivetrain.ElectricMotor,"","branch","","","","Electric Motor specific signals."
Signal.Drivetrain.BatteryManagement,"","branch","","","","Battery Management signals"
Signal.Drivetrain.InternalCombustionEngine,"","branch","","","","Engine-specific data, stopping at the bell housing."
Signal.Drivetrain.InternalCombustionEngine.EOP,"30","Int16","mbar","0","10000","Engine oil pressure."
Signal.Drivetrain.InternalCombustionEngine.MAP,"27","Int16","mbar","0","10000","Manifold air pressure possibly boosted using forced induction."
Signal.Drivetrain.InternalCombustionEngine.Power,"31","Int16","kW","0","2000","Current engine power output."
Signal.Drivetrain.InternalCombustionEngine.EOT,"26","Int16","celsius","-50","300","Engine oil temperature."
Signal.Drivetrain.InternalCombustionEngine.Torque,"32","Int16","Nm","0","3000","Current engine torque."
Signal.Drivetrain.InternalCombustionEngine.ECT,"25","Int16","celsius","-50","200","Engine coolant temperature."
Signal.Drivetrain.InternalCombustionEngine.TPS,"29","Int8","percent","0","100","Current throttle position."
Signal.Drivetrain.InternalCombustionEngine.MAF,"28","Int16","g/s","0","3000","Grams of air drawn into engine per second."
Signal.Drivetrain.InternalCombustionEngine.RPM,"24","UInt16","rpm","0","20000","Engine speed measured as rotations per minute."
Signal.Drivetrain.FuelCell,"","branch","","","","Fuel Cell signals"
Signal.Chassis,"","branch","","","","All signals concerning steering, suspension, wheels, and brakes."
Signal.Cabin,"","branch","","","","All in-cabin components, including doors."
Signal.Cabin.Door,"","branch","","","","All doors, including windows and switches"
Signal.Cabin.Door.Row1,"","branch","","","","Front doors"
Signal.Cabin.Door.Row1.Right,"","branch","","","","Right front door"
Signal.Cabin.Door.Row1.Right.IsChildLockActive,"121","Boolean","","","","Is door child lock engaged. Trnue = Engaged. False = Disengaged."
Signal.Cabin.Door.Row1.Right.IsLocked,"118","Boolean","","","","Is door locked or unlocked. True = Locked. False = Unlocked."
