Body,"","branch","","","","All body components.","","",""
Body.BodyType,"1256","attribute","","","","Body type code as defined by ISO 3779","","",""
Body.Mirrors,"","branch","","","","All mirrors","","",""
Body.Mirrors.Right,"","branch","","","","Right mirrors","","",""
Body.Mirrors.Right.Tilt,"1285","actuator","percent","","","Mirror tilt as a percent. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.","","",""
Body.Mirrors.Right.Heating,"","branch","","","","Mirror heater signals","","",""
Body.Mirrors.Right.Heating.Status,"1287","actuator","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.","","",""
Body.Mirrors.Right.Pan,"1286","actuator","percent","","","Mirror pan as a percent. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.","","",""
Body.Mirrors.Left,"","branch","","","","Left mirrors","","",""
Body.Mirrors.Left.Tilt,"1282","actuator","percent","","","Mirror tilt as a percent. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.","","",""
Body.Mirrors.Left.Heating,"","branch","","","","Mirror heater signals","","",""
Body.Mirrors.Left.Heating.Status,"1284","actuator","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.","","",""
Body.Mirrors.Left.Pan,"1283","actuator","percent","","","Mirror pan as a percent. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.","","",""
Body.RefuelPosition,"1257","attribute","","","","Location of the fuel cap or charge port","front_left / front_right / middle_left / middle_right / rear_left / rear_right","",""
Body.Horn,"","branch","","","","Horn signals","","",""
Body.Horn.IsActive,"1261","actuator","","","","Horn active or inactive. True = Active. False = Inactive.","","",""
Body.Lights,"","branch","","","","All lights","","",""
Body.Lights.IsLeftIndicatorOn,"1280","actuator","","","","Is left indicator flashing","","",""
Body.Lights.IsLowBeamOn,"1272","actuator","","","","Is low beam on","","",""
Body.Lights.IsHighBeamOn,"1271","actuator","","","","Is high beam on","","",""
Body.Lights.IsFrontFogOn,"1278","actuator","","","","Is front fog light on","","",""
Body.Lights.IsBrakeOn,"1276","actuator","","","","Is brake light on","","",""
