Signal,Id,Type,DataType,Complex,Unit,Min,Max,Desc,Enum,Sensor,Actuator,instances
Vehicle,"4961","branch","","False","","","","Highlevel vehicle data.","","",""
Vehicle.VehicleIdentification,"4525","branch","","False","","","","Attributes that identify a vehicle","","",""
Vehicle.VehicleIdentification.VIN,"4960","attribute","string","False","","","","17-character Vehicle Identification Number (VIN) as defined by ISO 3779","","","",[]
Vehicle.VehicleIdentification.WMI,"1179","attribute","string","False","","","","3-character World Manufacturer Identification (WMI) as defined by ISO 3780","","","",[]
Vehicle.VehicleIdentification.Brand,"1180","attribute","string","False","","","","Vehicle brand or manufacturer","","","",[]
Vehicle.VehicleIdentification.Model,"1181","attribute","string","False","","","","Vehicle model","","","",[]
Vehicle.VehicleIdentification.Year,"1182","attribute","uint16","False","","","","Model year of the vehicle","","","",[]
Vehicle.VehicleIdentification.ACRISSCode,"1183","attribute","string","False","","","","The ACRISS Car Classification Code is a code used by many car rental companies.","","","",[]
Vehicle.VehicleIdentification.bodyType,"1184","attribute","string","False","","","","Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).","","","",[]
Vehicle.VehicleIdentification.dateVehicleFirstRegistered,"1185","attribute","string","False","","","","The date of the first registration of the vehicle with the respective public authorities.","","","",[]
Vehicle.VehicleIdentification.meetsEmissionStandard,"1186","attribute","string","False","","","","Indicates that the vehicle meets the respective emission standard.","","","",[]
Vehicle.VehicleIdentification.productionDate,"1187","attribute","string","False","","","","The date of production of the item, e.g. vehicle.","","","",[]
Vehicle.VehicleIdentification.purchaseDate,"1188","attribute","string","False","","","","The date the item e.g. vehicle was purchased by the current owner.","","","",[]
Vehicle.VehicleIdentification.vehicleModelDate,"1189","attribute","string","False","","","","The release date of a vehicle model (often used to differentiate versions of the same make and model).","","","",[]
Vehicle.VehicleIdentification.vehicleConfiguration,"1190","attribute","string","False","","","","A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.","","","",[]
Vehicle.VehicleIdentification.vehicleSeatingCapacity,"1191","attribute","uint16","False","","","","The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.","","","",[]
Vehicle.VehicleIdentification.vehicleSpecialUsage,"1192","attribute","string","False","","","","Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school.","","","",[]
Vehicle.VehicleIdentification.vehicleinteriorColor,"4961","attribute","string","False","","","","A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.","","","",[]
Vehicle.VehicleIdentification.vehicleinteriorType,"3423","attribute","string","False","","","","The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.).","","","",[]
Vehicle.VehicleIdentification.knownVehicleDamages,"1195","attribute","string","False","","","","A textual description of known damages, both repaired and unrepaired.","","","",[]
Vehicle.IgnitionOnTime,"1196","sensor","uint32","False","s","","","Accumulated ignition on time in seconds.","","","",[]
Vehicle.IgnitionOffTime,"1197","sensor","uint32","False","s","","","Accumulated ignition off time in seconds.","","","",[]
Vehicle.DriveTime,"1198","sensor","uint32","False","s","","","Accumulated drive time in seconds.","","","",[]
Vehicle.IdleTime,"1199","sensor","uint32","False","s","","","Accumulated idle time in seconds.","","","",[]
Vehicle.Speed,"1200","sensor","int32","False","km/h","-250","250","Vehicle speed, as sensed by the gearbox.","","","",[]
Vehicle.TravelledDistance,"1201","sensor","float","False","km","","","Odometer reading","","","",[]
Vehicle.TripMeterReading,"1202","sensor","float","False","km","","","Current trip meter reading","","","",[]
Vehicle.AmbientAirTemperature,"1203","sensor","float","False","celsius","","","Ambient air temperature","","","",[]
Vehicle.IsMoving,"1204","sensor","boolean","False","","","","Indicates whether the vehicle is stationary or moving","","","",[]
Vehicle.AverageSpeed,"1205","sensor","int32","False","km/h","-250","250","Average speed for the current trip","","","",[]
Vehicle.Acceleration,"4526","branch","","False","","","","Spatial acceleration","","",""
Vehicle.Acceleration.Longitudinal,"1206","sensor","int32","False","m/s2","","","Vehicle acceleration in X (longitudinal acceleration).","","","",[]
Vehicle.Acceleration.Lateral,"1207","sensor","int32","False","m/s2","","","Vehicle acceleration in Y (lateral acceleration).","","","",[]
Vehicle.Acceleration.Vertical,"1208","sensor","int32","False","m/s2","","","Vehicle acceleration in Z (vertical acceleration).","","","",[]
Vehicle.AngularVelocity,"4527","branch","","False","","","","Spatial rotation","","",""
Vehicle.AngularVelocity.Roll,"1209","sensor","int16","False","degrees/s","","","Vehicle rotation rate along X (longitudinal).","","","",[]
Vehicle.AngularVelocity.Pitch,"1210","sensor","int16","False","degrees/s","","","Vehicle rotation rate along Y (lateral).","","","",[]
Vehicle.AngularVelocity.Yaw,"1211","sensor","int16","False","degrees/s","","","Vehicle rotation rate along Z (vertical).","","","",[]
Vehicle.RoofLoad,"1212","attribute","int16","False","kg","","","The permitted total weight of cargo and installations (e.g. a roof rack) on top of the vehicle.","","","",[]
Vehicle.accelerationTime,"1213","attribute","int16","False","sec","","","The time needed to accelerate the vehicle from a given start velocity to a given target velocity.","","","",[]
Vehicle.cargoVolume,"1214","attribute","int16","False","litres","0","100","The available volume for cargo or luggage. For automobiles, this is usually the trunk volume.","","","",[]
Vehicle.emissionsCO2,"1215","attribute","int16","False","g/km","","","The CO2 emissions in g/km.","","","",[]
Vehicle.Private,"4528","branch","","False","","","","Uncontrolled branch where non-public signals can be defined.","","",""
Vehicle.Media,"4529","branch","","False","","","","Media service data.","","",""
Vehicle.Media.Collections,"","rbranch","","False","","","","The media collections can also be understood as media queues of the renderer. Media collections can only contain playable media like tracks, videos or pictures.","","","",[]
Vehicle.Media.Items,"","rbranch","","False","","","","The media item object ...","","","",[]
Vehicle.Drivetrain,"4530","branch","","False","","","","Drivetrain data for internal combustion engines, transmissions, electric motors, etc.","","",""
Vehicle.Drivetrain.InternalCombustionEngine,"4531","branch","","False","","","","Engine-specific data, stopping at the bell housing.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Displacement,"3424","attribute","uint16","False","cm3","","","Displacement in cubic centimetres.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Configuration,"3425","attribute","string","False","","","","Engine configuration.","unknown / straight / V / boxer / W / rotary / radial / square / H / U / opposed / X","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.MaxPower,"3426","attribute","uint16","False","kw","","","Peak power, in kilowatts, that engine can generate.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.MaxTorque,"3427","attribute","uint16","False","N.m","","","Peak power, in newton meter, that the engine can generate.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.FuelType,"3428","attribute","string","False","","","","Type of fuel that the engine runs on.","unknown / gasoline / diesel / E85 / CNG","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine,"4532","branch","","False","","","","Engine signals","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Speed,"3429","sensor","uint16","False","rpm","0","20000","Engine speed measured as rotations per minute.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.ECT,"3430","sensor","int16","False","celsius","-50","200","Engine coolant temperature.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.EOT,"3431","sensor","int16","False","celsius","-50","300","Engine oil temperature.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.MAP,"3432","sensor","int16","False","kpa","0","1000","Manifold air pressure possibly boosted using forced induction.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.MAF,"3433","sensor","int16","False","g/s","0","3000","Grams of air drawn into engine per second.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.TPS,"3434","sensor","int8","False","percent","0","100","Current throttle position.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.EOP,"3435","sensor","int16","False","kpa","0","1000","Engine oil pressure.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Power,"3436","sensor","int16","False","kW","0","2000","Current engine power output.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Torque,"3437","sensor","int16","False","N.m","0","3000","Current engine torque.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.AmbientAirTemperature,"3438","sensor","float","False","celsius","","","Ambient (Outside) air temperature","","","",[]
Vehicle.Drivetrain.Transmission,"4533","branch","","False","","","","Transmission-specific data, stopping at the drive shafts.","","",""
Vehicle.Drivetrain.Transmission.Type,"3439","attribute","string","False","","","","Transmission type.","unknown / sequential / H / automatic / DSG / CVT","","",[]
Vehicle.Drivetrain.Transmission.GearCount,"3440","attribute","uint8","False","","","","Number of forward gears in the transmission. -1 = CVT.","","","",[]
Vehicle.Drivetrain.Transmission.DriveType,"3441","attribute","string","False","","","","Drive type.","unknown / forward wheel drive / rear wheel drive / all wheel drive","","",[]
Vehicle.Drivetrain.Transmission.Speed,"3442","sensor","int32","False","km/h","-250","250","Vehicle speed, as sensed by the gearbox.","","","",[]
Vehicle.Drivetrain.Transmission.TravelledDistance,"3443","sensor","float","False","km","","","Odometer reading","","","",[]
Vehicle.Drivetrain.Transmission.Gear,"3444","actuator","int8","False","","-1","16","Current gear. 0=Neutral. -1=Reverse","","","",[]
Vehicle.Drivetrain.Transmission.PerformanceMode,"3445","actuator","string","False","","","","Current gearbox performance mode.","normal / sport / economy / snow / rain","","",[]
Vehicle.Drivetrain.Transmission.GearChangeMode,"3446","actuator","string","False","","","","Is the gearbox in automatic or manual (paddle) mode.","manual / automatic","","",[]
Vehicle.Drivetrain.Transmission.Temperature,"3447","sensor","int16","False","celsius","-50","200","The current gearbox temperature","","","",[]
Vehicle.Drivetrain.Transmission.ClutchWear,"3448","sensor","uint8","False","percent","","","Clutch wear as a percent. 0 = no wear. 100 = worn.","","","",[]
Vehicle.Drivetrain.ElectricMotor,"4534","branch","","False","","","","Electric Motor specific data.","","",""
Vehicle.Drivetrain.BatteryManagement,"4535","branch","","False","","","","Battery Management data.","","",""
